Transaction ID,Date,Sender Name,Sender Country,Sender Bank,Receiver Name,Receiver Country,Receiver Bank,Amount,Transaction Details,Status,Sender Predicted Category,Receiver Predicted Category
TXN0066,2025-03-26 06:12:34,World Health Organization,British Virgin Islands,Swiss National Bank,HSBC Holdings,Germany,Swiss National Bank,"$556,414",Cheque,Under Review,NGO,Corporation
TXN0067,2025-03-26 06:12:34,Crypto Exchange Ltd,British Virgin Islands,Deutsche Bank,BlackRock,Cayman Islands,HSBC,"$1,136,102",Wire Transfer,Under Review,Shell Company,Shell Company
TXN0068,2025-03-26 06:12:34,Rothschild & Co,Cayman Islands,Deutsche Bank,United Nations,Panama,Swiss National Bank,"$1,034,136",Cryptocurrency,Pending,Corporation,Government Organization
TXN0069,2025-03-26 06:12:34,United Nations,Germany,Deutsche Bank,Tesla Inc.,British Virgin Islands,Cayman National Bank,"$285,431",Wire Transfer,Pending,Government Organization,Corporation
TXN0070,2025-03-26 06:12:34,Rothschild & Co,UK,Cayman National Bank,JP Morgan Chase,UK,Cayman National Bank,"$3,025,868",Cheque,Completed,Corporation,Corporation
TXN0071,2025-03-26 06:12:34,Rothschild & Co,China,JP Morgan Chase,Tesla Inc.,British Virgin Islands,JP Morgan Chase,"$4,592,164",Cryptocurrency,Completed,Corporation,Corporation
TXN0072,2025-03-26 06:12:34,Crypto Exchange Ltd,Germany,HSBC,Tesla Inc.,Panama,Swiss National Bank,"$4,907,780",Cheque,Under Review,Shell Company,Corporation
TXN0073,2025-03-26 06:12:34,ABC Offshore Services,UK,JP Morgan Chase,Oxfam International,Switzerland,Deutsche Bank,"$822,714",Wire Transfer,Completed,Shell Company,NGO
TXN0074,2025-03-26 06:12:34,Greenpeace,Panama,Deutsche Bank,ExxonMobil,Cayman Islands,HSBC,"$3,086,174",Cryptocurrency,Rejected,NGO,Corporation
TXN0075,2025-03-26 06:12:34,HSBC Holdings,Russia,JP Morgan Chase,Tesla Inc.,Russia,Cayman National Bank,"$146,369",Wire Transfer,Completed,Corporation,Corporation
TXN0076,2025-03-26 06:12:34,World Health Organization,China,Swiss National Bank,Greenpeace,Cayman Islands,Swiss National Bank,"$360,565",SWIFT,Pending,NGO,NGO
TXN0077,2025-03-26 06:12:34,Gazprom,Switzerland,Deutsche Bank,JP Morgan Chase,British Virgin Islands,HSBC,"$3,742,224",Cheque,Under Review,Corporation,Corporation
TXN0078,2025-03-26 06:12:34,Panama Offshore Holdings,China,Swiss National Bank,Oxfam International,Germany,Swiss National Bank,"$2,011,449",SWIFT,Completed,Shell Company,NGO
TXN0079,2025-03-26 06:12:34,Gazprom,UK,JP Morgan Chase,BlackRock,UK,Swiss National Bank,"$3,704,541",SWIFT,Pending,Corporation,Shell Company
TXN0080,2025-03-26 06:12:34,Rostec,USA,JP Morgan Chase,Tesla Inc.,Germany,Deutsche Bank,"$34,862",SWIFT,Rejected,Shell Company,Corporation
TXN0081,2025-03-26 06:12:34,Rothschild & Co,Cayman Islands,Cayman National Bank,Red Cross,China,Cayman National Bank,"$4,623,520",SWIFT,Under Review,Corporation,NGO
TXN0082,2025-03-26 06:12:34,Nicolas Maduro,Switzerland,Swiss National Bank,Panama Offshore Holdings,Russia,Deutsche Bank,"$2,758,857",Cheque,Rejected,PEP,Shell Company
TXN0083,2025-03-26 06:12:34,Crypto Exchange Ltd,Cayman Islands,Swiss National Bank,World Health Organization,Panama,Cayman National Bank,"$3,130,595",Cheque,Under Review,Shell Company,NGO
TXN0084,2025-03-26 06:12:34,Shell Holdings Ltd,Cayman Islands,Cayman National Bank,Red Cross,British Virgin Islands,JP Morgan Chase,"$1,905,093",Cryptocurrency,Pending,Corporation,NGO
TXN0085,2025-03-26 06:12:34,World Health Organization,Switzerland,JP Morgan Chase,Goldman Sachs,USA,Deutsche Bank,"$4,471,207",Cryptocurrency,Rejected,NGO,Corporation
TXN0086,2025-03-26 06:12:34,Red Cross,UK,Cayman National Bank,Greenpeace,Panama,Swiss National Bank,"$2,729,230",Wire Transfer,Rejected,NGO,NGO
TXN0087,2025-03-26 06:12:34,BlackRock,Germany,Cayman National Bank,United Nations,UK,Cayman National Bank,"$612,514",SWIFT,Completed,Shell Company,Government Organization
TXN0088,2025-03-26 06:12:34,North Korea Trading Corporation,China,JP Morgan Chase,Tesla Inc.,UK,Swiss National Bank,"$2,790,057",Wire Transfer,Rejected,Shell Company,Corporation
TXN0089,2025-03-26 06:12:34,ABC Offshore Services,China,HSBC,Panama Offshore Holdings,USA,Deutsche Bank,"$885,117",SWIFT,Rejected,Shell Company,Shell Company
TXN0090,2025-03-26 06:12:34,Shell Holdings Ltd,Panama,JP Morgan Chase,Red Cross,USA,Swiss National Bank,"$3,675,833",Cheque,Pending,Corporation,NGO
TXN0091,2025-03-26 06:12:34,Rothschild & Co,Panama,Cayman National Bank,Greenpeace,Germany,Deutsche Bank,"$4,737,677",Cheque,Pending,Corporation,NGO
TXN0092,2025-03-26 06:12:34,Hawala Network Inc,UK,JP Morgan Chase,Red Cross,Cayman Islands,Deutsche Bank,"$3,158,929",Cheque,Rejected,Shell Company,NGO
TXN0093,2025-03-26 06:12:34,Rostec,Panama,Cayman National Bank,ExxonMobil,China,Cayman National Bank,"$2,080,807",Cheque,Rejected,Shell Company,Corporation
TXN0094,2025-03-26 06:12:34,Hawala Network Inc,USA,HSBC,HSBC Holdings,Cayman Islands,JP Morgan Chase,"$946,931",Wire Transfer,Rejected,Shell Company,Corporation
TXN0095,2025-03-26 06:12:34,Tesla Inc.,Cayman Islands,JP Morgan Chase,Shell Trading Ltd,UK,Cayman National Bank,"$3,564,247",Cryptocurrency,Rejected,Corporation,Corporation
TXN0096,2025-03-26 06:12:34,World Health Organization,Switzerland,Swiss National Bank,Red Cross,China,HSBC,"$973,333",SWIFT,Pending,NGO,NGO
TXN0097,2025-03-26 06:12:34,HSBC Holdings,Germany,JP Morgan Chase,BlackRock,Germany,JP Morgan Chase,"$4,944,169",Cryptocurrency,Rejected,Corporation,Shell Company
TXN0098,2025-03-26 06:12:34,Shell Holdings Ltd,British Virgin Islands,Cayman National Bank,ExxonMobil,Russia,Swiss National Bank,"$2,101,130",SWIFT,Pending,Corporation,Corporation
TXN0099,2025-03-26 06:12:34,Rothschild & Co,Switzerland,Deutsche Bank,HSBC Holdings,Russia,Swiss National Bank,"$1,756,555",Wire Transfer,Under Review,Corporation,Corporation
TXN0100,2025-03-26 06:12:34,World Health Organization,Russia,HSBC,JP Morgan Chase,USA,Cayman National Bank,"$4,018,415",Cheque,Completed,NGO,Corporation
TXN0101,2025-03-26 06:12:34,ExxonMobil,Germany,Cayman National Bank,United Nations,Switzerland,Swiss National Bank,"$680,566",Wire Transfer,Completed,Corporation,Government Organization
TXN0102,2025-03-26 06:12:34,World Health Organization,UK,Deutsche Bank,JP Morgan Chase,Panama,Deutsche Bank,"$1,403,971",Cryptocurrency,Pending,NGO,Corporation
TXN0103,2025-03-26 06:12:34,Greenpeace,Russia,Cayman National Bank,World Health Organization,China,HSBC,"$4,463,601",Cryptocurrency,Under Review,NGO,NGO
TXN0104,2025-03-26 06:12:34,North Korea Trading Corporation,Panama,Swiss National Bank,Greenpeace,Cayman Islands,JP Morgan Chase,"$3,332,397",SWIFT,Pending,Shell Company,NGO
TXN0105,2025-03-26 06:12:34,Red Cross,Russia,Cayman National Bank,Greenpeace,Panama,Swiss National Bank,"$2,045,319",Cheque,Rejected,NGO,NGO
TXN0106,2025-03-26 06:12:34,Shell Holdings Ltd,Russia,JP Morgan Chase,United Nations,Panama,HSBC,"$2,340,809",Cheque,Under Review,Corporation,Government Organization
TXN0107,2025-03-26 06:12:34,JP Morgan Chase,British Virgin Islands,Swiss National Bank,ExxonMobil,Cayman Islands,Swiss National Bank,"$4,055,351",SWIFT,Completed,Corporation,Corporation
TXN0108,2025-03-26 06:12:34,ABC Offshore Services,Cayman Islands,Deutsche Bank,United Nations,Cayman Islands,Deutsche Bank,"$1,214,511",Cheque,Completed,Shell Company,Government Organization
TXN0109,2025-03-26 06:12:34,HSBC Holdings,Russia,Swiss National Bank,BlackRock,British Virgin Islands,HSBC,"$4,884,559",Cheque,Pending,Corporation,Shell Company
TXN0110,2025-03-26 06:12:34,North Korea Trading Corporation,Switzerland,HSBC,Red Cross,British Virgin Islands,HSBC,"$3,656,888",Wire Transfer,Rejected,Shell Company,NGO
TXN0111,2025-03-26 06:12:34,ExxonMobil,UK,Swiss National Bank,United Nations,Germany,Swiss National Bank,"$4,208,930",Wire Transfer,Pending,Corporation,Government Organization
TXN0112,2025-03-26 06:12:34,Hawala Network Inc,China,Swiss National Bank,Rothschild & Co,UK,JP Morgan Chase,"$503,402",SWIFT,Under Review,Shell Company,Corporation
TXN0113,2025-03-26 06:12:34,Red Cross,Panama,Swiss National Bank,Rothschild & Co,USA,Cayman National Bank,"$4,267,139",SWIFT,Under Review,NGO,Corporation
TXN0114,2025-03-26 06:12:34,Greenpeace,Switzerland,Cayman National Bank,Tesla Inc.,British Virgin Islands,Deutsche Bank,"$1,835,759",Wire Transfer,Pending,NGO,Corporation
TXN0115,2025-03-26 06:12:34,Hawala Network Inc,Russia,Cayman National Bank,Panama Offshore Holdings,Cayman Islands,Deutsche Bank,"$2,615,631",SWIFT,Under Review,Shell Company,Shell Company
TXN0116,2025-03-26 06:12:34,Red Cross,Panama,JP Morgan Chase,Shell Trading Ltd,Germany,Cayman National Bank,"$2,956,229",Cryptocurrency,Completed,NGO,Corporation
TXN0117,2025-03-26 06:12:34,JP Morgan Chase,USA,Cayman National Bank,Oxfam International,British Virgin Islands,HSBC,"$955,735",Wire Transfer,Pending,Corporation,NGO
TXN0118,2025-03-26 06:12:34,ExxonMobil,UK,Cayman National Bank,BlackRock,Panama,Swiss National Bank,"$1,736,197",Cheque,Pending,Corporation,Shell Company
TXN0119,2025-03-26 06:12:34,United Nations,Germany,HSBC,Rothschild & Co,USA,HSBC,"$4,930,789",SWIFT,Under Review,Government Organization,Corporation
TXN0120,2025-03-26 06:12:34,ABC Offshore Services,Cayman Islands,Swiss National Bank,Rothschild & Co,Switzerland,Cayman National Bank,"$634,845",Wire Transfer,Under Review,Shell Company,Corporation
TXN0121,2025-03-26 06:12:34,ABC Offshore Services,Panama,Swiss National Bank,Goldman Sachs,Panama,Swiss National Bank,"$901,478",Cryptocurrency,Rejected,Shell Company,Corporation
TXN0122,2025-03-26 06:12:34,Goldman Sachs,Panama,Cayman National Bank,World Health Organization,China,HSBC,"$13,960",Wire Transfer,Rejected,Corporation,NGO
TXN0123,2025-03-26 06:12:34,Shell Holdings Ltd,Germany,Cayman National Bank,Shell Trading Ltd,USA,HSBC,"$2,357,534",Wire Transfer,Rejected,Corporation,Corporation
TXN0124,2025-03-26 06:12:34,Rothschild & Co,Panama,Cayman National Bank,Red Cross,Cayman Islands,Swiss National Bank,"$2,023,064",Cryptocurrency,Under Review,Corporation,NGO
TXN0125,2025-03-26 06:12:34,United Nations,Germany,HSBC,Greenpeace,UK,Deutsche Bank,"$4,007,348",Cheque,Completed,Government Organization,NGO
TXN0126,2025-03-26 06:12:34,Goldman Sachs,China,Cayman National Bank,Rothschild & Co,Russia,Cayman National Bank,"$55,907",Cheque,Completed,Corporation,Corporation
TXN0127,2025-03-26 06:12:34,Hawala Network Inc,Germany,JP Morgan Chase,Rothschild & Co,Cayman Islands,Deutsche Bank,"$2,620,711",Cheque,Rejected,Shell Company,Corporation
TXN0128,2025-03-26 06:12:34,ABC Offshore Services,Panama,Swiss National Bank,Greenpeace,Switzerland,Deutsche Bank,"$4,743,337",SWIFT,Rejected,Shell Company,NGO
TXN0129,2025-03-26 06:12:34,Goldman Sachs,USA,JP Morgan Chase,HSBC Holdings,British Virgin Islands,Swiss National Bank,"$2,892,974",Cryptocurrency,Completed,Corporation,Corporation
TXN0130,2025-03-26 06:12:34,Rostec,Panama,Swiss National Bank,HSBC Holdings,UK,JP Morgan Chase,"$2,285,304",SWIFT,Pending,Shell Company,Corporation
TXN0131,2025-03-26 06:12:34,BlackRock,Switzerland,JP Morgan Chase,Panama Offshore Holdings,British Virgin Islands,Cayman National Bank,"$4,573,586",Cheque,Under Review,Shell Company,Shell Company
TXN0132,2025-03-26 06:12:34,Nicolas Maduro,Russia,Deutsche Bank,Rothschild & Co,Germany,JP Morgan Chase,"$85,725",SWIFT,Under Review,PEP,Corporation
TXN0133,2025-03-26 06:12:34,World Health Organization,USA,Deutsche Bank,BlackRock,British Virgin Islands,HSBC,"$474,613",Cheque,Rejected,NGO,Shell Company
TXN0134,2025-03-26 06:12:34,Shell Holdings Ltd,USA,JP Morgan Chase,World Health Organization,Panama,Deutsche Bank,"$2,149,107",Cheque,Completed,Corporation,NGO
TXN0135,2025-03-26 06:12:34,Greenpeace,UK,Deutsche Bank,Red Cross,UK,Deutsche Bank,"$979,949",SWIFT,Rejected,NGO,NGO
TXN0136,2025-03-26 06:12:34,Panama Offshore Holdings,UK,JP Morgan Chase,JP Morgan Chase,Russia,HSBC,"$2,954,023",Cryptocurrency,Under Review,Shell Company,Corporation
TXN0137,2025-03-26 06:12:34,JP Morgan Chase,Germany,Deutsche Bank,Rothschild & Co,Cayman Islands,Cayman National Bank,"$3,159,286",Cryptocurrency,Completed,Corporation,Corporation
TXN0138,2025-03-26 06:12:34,ABC Offshore Services,Cayman Islands,Swiss National Bank,BlackRock,Russia,Cayman National Bank,"$4,325,397",Wire Transfer,Rejected,Shell Company,Shell Company
TXN0139,2025-03-26 06:12:34,World Health Organization,Russia,Deutsche Bank,World Health Organization,Cayman Islands,Cayman National Bank,"$3,348,701",Cryptocurrency,Pending,NGO,NGO
TXN0140,2025-03-26 06:12:34,BlackRock,Russia,Cayman National Bank,Shell Trading Ltd,Switzerland,Cayman National Bank,"$4,750,022",Cheque,Pending,Shell Company,Corporation
TXN0141,2025-03-26 06:12:34,Vladimir Putin,Panama,JP Morgan Chase,Red Cross,Germany,Cayman National Bank,"$1,179,557",SWIFT,Pending,PEP,NGO
TXN0142,2025-03-26 06:12:34,HSBC Holdings,Cayman Islands,HSBC,Greenpeace,Germany,HSBC,"$4,027,494",Cheque,Completed,Corporation,NGO
TXN0143,2025-03-26 06:12:34,ExxonMobil,China,HSBC,HSBC Holdings,UK,Swiss National Bank,"$1,886,257",SWIFT,Pending,Corporation,Corporation
TXN0144,2025-03-26 06:12:34,Shell Trading Ltd,Switzerland,Deutsche Bank,Red Cross,Cayman Islands,HSBC,"$910,467",Cryptocurrency,Rejected,Corporation,NGO
TXN0145,2025-03-26 06:12:34,Rothschild & Co,USA,HSBC,ExxonMobil,China,Deutsche Bank,"$2,841,414",Cryptocurrency,Pending,Corporation,Corporation
TXN0146,2025-03-26 06:12:34,HSBC Holdings,Russia,HSBC,ExxonMobil,USA,HSBC,"$1,344,203",SWIFT,Completed,Corporation,Corporation
TXN0147,2025-03-26 06:12:34,Vladimir Putin,Russia,Swiss National Bank,Oxfam International,USA,Cayman National Bank,"$3,433,106",Cryptocurrency,Pending,PEP,NGO
TXN0148,2025-03-26 06:12:34,Panama Offshore Holdings,China,HSBC,HSBC Holdings,Panama,HSBC,"$3,705,390",Cryptocurrency,Under Review,Shell Company,Corporation
TXN0149,2025-03-26 06:12:34,Shell Trading Ltd,UK,HSBC,Shell Trading Ltd,Switzerland,HSBC,"$448,698",Cryptocurrency,Completed,Corporation,Corporation
TXN0150,2025-03-26 06:12:34,Rothschild & Co,UK,JP Morgan Chase,Red Cross,USA,JP Morgan Chase,"$892,404",SWIFT,Pending,Corporation,NGO
TXN0151,2025-03-26 06:12:34,Gazprom,China,JP Morgan Chase,BlackRock,Switzerland,Cayman National Bank,"$4,520,762",SWIFT,Rejected,Corporation,Shell Company
TXN0152,2025-03-26 06:12:34,World Health Organization,China,HSBC,Panama Offshore Holdings,Cayman Islands,Swiss National Bank,"$2,582,925",Cryptocurrency,Under Review,NGO,Shell Company
